Index,Strike Price,Option Type,OI
BANKNIFTY,60300.0,CE,45535
BANKNIFTY,60300.0,PE,0
BANKNIFTY,60400.0,CE,53900
BANKNIFTY,60400.0,PE,35
BANKNIFTY,60500.0,CE,316785
BANKNIFTY,60500.0,PE,1015
BANKNIFTY,60600.0,CE,15610
BANKNIFTY,60600.0,PE,70
BANKNIFTY,60700.0,CE,54635
BANKNIFTY,60700.0,PE,0
BANKNIFTY,60800.0,CE,24605
BANKNIFTY,60800.0,PE,0
BANKNIFTY,60900.0,CE,27720
BANKNIFTY,60900.0,PE,70
BANKNIFTY,61000.0,CE,811055
BANKNIFTY,61000.0,PE,28875
BANKNIFTY,61100.0,CE,13825
BANKNIFTY,61100.0,PE,0
BANKNIFTY,61200.0,CE,19530
BANKNIFTY,61200.0,PE,0
BANKNIFTY,61300.0,CE,17745
BANKNIFTY,61300.0,PE,0
BANKNIFTY,61400.0,CE,11340
BANKNIFTY,61400.0,PE,0
BANKNIFTY,61500.0,CE,444535
BANKNIFTY,61500.0,PE,0
BANKNIFTY,61600.0,CE,10535
BANKNIFTY,61600.0,PE,35
BANKNIFTY,61700.0,CE,7280
BANKNIFTY,61700.0,PE,0
BANKNIFTY,61800.0,CE,24360
BANKNIFTY,61800.0,PE,0
BANKNIFTY,61900.0,CE,6580
BANKNIFTY,61900.0,PE,0
BANKNIFTY,62000.0,CE,569625
BANKNIFTY,62000.0,PE,35455
BANKNIFTY,62100.0,CE,10255
BANKNIFTY,62100.0,PE,0
BANKNIFTY,62200.0,CE,6195
BANKNIFTY,62200.0,PE,35
BANKNIFTY,62300.0,CE,7245
BANKNIFTY,62300.0,PE,0
BANKNIFTY,62400.0,CE,15505
BANKNIFTY,62400.0,PE,0
BANKNIFTY,62500.0,CE,116760
BANKNIFTY,62500.0,PE,0
BANKNIFTY,63000.0,CE,302960
BANKNIFTY,63000.0,PE,21385
BANKNIFTY,63500.0,CE,101255
BANKNIFTY,63500.0,PE,0
BANKNIFTY,64000.0,CE,151760
BANKNIFTY,64000.0,PE,11795
BANKNIFTY,64500.0,CE,360780
BANKNIFTY,64500.0,PE,6160
BANKNIFTY,65000.0,CE,404355
BANKNIFTY,65000.0,PE,70
FINNIFTY,22500.0,CE,0
FINNIFTY,22500.0,PE,27625
FINNIFTY,23000.0,CE,0
FINNIFTY,23000.0,PE,37440
FINNIFTY,23500.0,CE,0
FINNIFTY,23500.0,PE,32890
FINNIFTY,23600.0,CE,0
FINNIFTY,23600.0,PE,910
FINNIFTY,23700.0,CE,0
FINNIFTY,23700.0,PE,585
FINNIFTY,23800.0,CE,0
FINNIFTY,23800.0,PE,1040
FINNIFTY,23900.0,CE,0
FINNIFTY,23900.0,PE,65
FINNIFTY,24000.0,CE,2210
FINNIFTY,24000.0,PE,31330
FINNIFTY,24100.0,CE,0
FINNIFTY,24100.0,PE,1755
FINNIFTY,24200.0,CE,0
FINNIFTY,24200.0,PE,715
FINNIFTY,24300.0,CE,0
FINNIFTY,24300.0,PE,975
FINNIFTY,24400.0,CE,0
FINNIFTY,24400.0,PE,2600
FINNIFTY,24500.0,CE,0
FINNIFTY,24500.0,PE,65390
FINNIFTY,24600.0,CE,0
FINNIFTY,24600.0,PE,1105
FINNIFTY,24700.0,CE,0
FINNIFTY,24700.0,PE,1365
FINNIFTY,24800.0,CE,0
FINNIFTY,24800.0,PE,2535
FINNIFTY,24900.0,CE,0
FINNIFTY,24900.0,PE,7540
FINNIFTY,25000.0,CE,3250
FINNIFTY,25000.0,PE,89700
FINNIFTY,25100.0,CE,0
FINNIFTY,25100.0,PE,5980
FINNIFTY,25200.0,CE,0
FINNIFTY,25200.0,PE,4355
FINNIFTY,25300.0,CE,585
FINNIFTY,25300.0,PE,8320
FINNIFTY,25400.0,CE,0
FINNIFTY,25400.0,PE,715
FINNIFTY,25500.0,CE,130
FINNIFTY,25500.0,PE,98215
FINNIFTY,25600.0,CE,0
FINNIFTY,25600.0,PE,7540
FINNIFTY,25700.0,CE,0
FINNIFTY,25700.0,PE,5330
FINNIFTY,25800.0,CE,0
FINNIFTY,25800.0,PE,6955
FINNIFTY,25900.0,CE,0
FINNIFTY,25900.0,PE,9945
FINNIFTY,26000.0,CE,390
FINNIFTY,26000.0,PE,47515
FINNIFTY,26100.0,CE,0
FINNIFTY,26100.0,PE,0
FINNIFTY,26200.0,CE,65
FINNIFTY,26200.0,PE,10920
FINNIFTY,26300.0,CE,0
FINNIFTY,26300.0,PE,24440
FINNIFTY,26400.0,CE,780
FINNIFTY,26400.0,PE,9425
FINNIFTY,26500.0,CE,8450
FINNIFTY,26500.0,PE,83200
FINNIFTY,26600.0,CE,1950
FINNIFTY,26600.0,PE,14430
FINNIFTY,26700.0,CE,12935
FINNIFTY,26700.0,PE,16835
FINNIFTY,26800.0,CE,39130
FINNIFTY,26800.0,PE,45305
FINNIFTY,26900.0,CE,48555
FINNIFTY,26900.0,PE,56225
FINNIFTY,27000.0,CE,130065
FINNIFTY,27000.0,PE,91845
FINNIFTY,27100.0,CE,29900
FINNIFTY,27100.0,PE,12545
FINNIFTY,27200.0,CE,84630
FINNIFTY,27200.0,PE,10985
FINNIFTY,27300.0,CE,27365
FINNIFTY,27300.0,PE,8645
FINNIFTY,27400.0,CE,24635
FINNIFTY,27400.0,PE,4290
FINNIFTY,27500.0,CE,95160
FINNIFTY,27500.0,PE,11635
FINNIFTY,27600.0,CE,19500
FINNIFTY,27600.0,PE,3250
FINNIFTY,27700.0,CE,10400
FINNIFTY,27700.0,PE,1105
FINNIFTY,27800.0,CE,0
FINNIFTY,27800.0,PE,715
FINNIFTY,27900.0,CE,11310
FINNIFTY,27900.0,PE,585
FINNIFTY,28000.0,CE,127790
FINNIFTY,28000.0,PE,1040
FINNIFTY,28100.0,CE,0
FINNIFTY,28100.0,PE,0
FINNIFTY,28200.0,CE,33085
FINNIFTY,28200.0,PE,0
FINNIFTY,28300.0,CE,13975
FINNIFTY,28300.0,PE,845
FINNIFTY,28400.0,CE,4940
FINNIFTY,28400.0,PE,0
FINNIFTY,28500.0,CE,111670
FINNIFTY,28500.0,PE,0
FINNIFTY,28600.0,CE,65
FINNIFTY,28600.0,PE,0
FINNIFTY,28700.0,CE,910
FINNIFTY,28700.0,PE,0
FINNIFTY,28800.0,CE,5915
FINNIFTY,28800.0,PE,0
FINNIFTY,28900.0,CE,1690
FINNIFTY,28900.0,PE,0
FINNIFTY,29000.0,CE,92365
FINNIFTY,29000.0,PE,0
FINNIFTY,29100.0,CE,2405
FINNIFTY,29100.0,PE,0
FINNIFTY,29200.0,CE,715
FINNIFTY,29200.0,PE,0
FINNIFTY,29300.0,CE,4745
FINNIFTY,29300.0,PE,0
FINNIFTY,29400.0,CE,1170
FINNIFTY,29400.0,PE,0
FINNIFTY,29500.0,CE,22490
FINNIFTY,29500.0,PE,0
FINNIFTY,29600.0,CE,715
FINNIFTY,29600.0,PE,0
FINNIFTY,29700.0,CE,1235
FINNIFTY,29700.0,PE,0
FINNIFTY,29800.0,CE,2340
FINNIFTY,29800.0,PE,0
FINNIFTY,30000.0,CE,52000
FINNIFTY,30000.0,PE,0
FINNIFTY,25550.0,CE,0
FINNIFTY,25550.0,PE,520
FINNIFTY,25650.0,CE,0
FINNIFTY,25650.0,PE,1170
FINNIFTY,25750.0,CE,0
FINNIFTY,25750.0,PE,780
FINNIFTY,25850.0,CE,0
FINNIFTY,25850.0,PE,0
FINNIFTY,25950.0,CE,0
FINNIFTY,25950.0,PE,0
FINNIFTY,26050.0,CE,0
FINNIFTY,26050.0,PE,65
FINNIFTY,26150.0,CE,260
FINNIFTY,26150.0,PE,0
FINNIFTY,26250.0,CE,0
FINNIFTY,26250.0,PE,3445
FINNIFTY,26350.0,CE,130
FINNIFTY,26350.0,PE,0
FINNIFTY,26450.0,CE,195
FINNIFTY,26450.0,PE,3705
FINNIFTY,26550.0,CE,260
FINNIFTY,26550.0,PE,0
FINNIFTY,26650.0,CE,325
FINNIFTY,26650.0,PE,2990
FINNIFTY,26750.0,CE,13195
FINNIFTY,26750.0,PE,11375
FINNIFTY,26850.0,CE,19890
FINNIFTY,26850.0,PE,25805
FINNIFTY,26950.0,CE,13520
FINNIFTY,26950.0,PE,14560
FINNIFTY,27050.0,CE,8970
FINNIFTY,27050.0,PE,5005
FINNIFTY,27150.0,CE,13260
FINNIFTY,27150.0,PE,9880
FINNIFTY,27250.0,CE,12285
FINNIFTY,27250.0,PE,5850
FINNIFTY,27350.0,CE,5265
FINNIFTY,27350.0,PE,2795
FINNIFTY,27450.0,CE,2535
FINNIFTY,27450.0,PE,260
FINNIFTY,27550.0,CE,0
FINNIFTY,27550.0,PE,130
FINNIFTY,27650.0,CE,4550
FINNIFTY,27650.0,PE,0
FINNIFTY,27750.0,CE,1950
FINNIFTY,27750.0,PE,130
FINNIFTY,27850.0,CE,13195
FINNIFTY,27850.0,PE,195
FINNIFTY,27950.0,CE,10595
FINNIFTY,27950.0,PE,65
FINNIFTY,28050.0,CE,63375
FINNIFTY,28050.0,PE,130
FINNIFTY,28150.0,CE,0
FINNIFTY,28150.0,PE,130
FINNIFTY,28250.0,CE,0
FINNIFTY,28250.0,PE,0
FINNIFTY,28350.0,CE,0
FINNIFTY,28350.0,PE,0
FINNIFTY,28450.0,CE,0
FINNIFTY,28450.0,PE,0
FINNIFTY,28550.0,CE,4225
FINNIFTY,28550.0,PE,0
